제목,원제,개봉일,대여,구매,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,스트리밍
타이치2 히어로,太極２ 英雄崛起,(2012),"[('wavve', ['₩1,200', 'HD'])]","[('Naver Store', ['₩1,200', 'HD'])]","['67%', '6.2 (3k)']",['액션'],['1시간 40분'],['Stephen Fung Tak-Lun'],"['Jayden Yuan', 'Tony Leung Ka-fai', 'Eddie Peng', 'AngelaBaby', 'William Fung Kwun-Man', 'Daniel Wu', 'Patrick Tse Yin', 'Yuen Biao', 'Peter Stormare', 'Yuan Wenkang', 'Shu Qi', 'Shen Si', 'Wei Ai-Xuan', 'Dillon Wu Di', 'Chen Sicheng', 'Teddy Xiong Naijin', 'Ying Da', 'Stanley Fung', 'Nikki Hsieh', 'Jade Xu']","무술의 고수들이 사는 진 가구 마을에서 진가권을 배우러 온 양로선. 그는 진장홍의 딸진옥랑의 목숨을 구해주게 되고, 진장홍의 딸 진옥랑과 위장 결혼을 하여 권법을 배우기로 한다. 결혼식 날, 가문을 버리고 나갔던 진장홍의 첫째 아들 진재앙이 돌아온다. 그는 다른 성을 가진 자가 권법을 배우면 화가 전 마을에 미칠 것이며 동종이 크게 울리면 멸족을 당한다는 전설을 들며 로선과 옥랑의 혼인을 반대하고 아버지의 자리를 탐하려 한다. 하지만 아내와 짜고 동종이 저절로 돌게끔 조작을 한 사실을 아버지 진장홍에게 들키게 되어 마을을 떠나게 된다. 한편 동인도 회사 자본과 청나라 대신과 손잡은 방자경이 군대를 이끌고 마을을 공격하게 된다. 위기에 처한 이들 앞에 그와 결탁했던 재앙은 방자경의 무서운 속셈을 알아 차리고 직접 만든, 하늘을 나는 천위익을 타고 마을로 돌아오게 된다. 그의 도움으로 탈출한 로선과 옥랑은 아버지의 명으로 팔괘문 이천군 사부를 찾아가게 된다. 이 사부를 만나기 위해서는 8관문을 거쳐야 하는데.. 로선은 과연 이 난관을 타계하고 마을을 지킬 수 있을까...",https://images.justwatch.com/poster/93735207/s276/tai-chi-2-the-hero-rises.webp,
리크리에이터,CLONED: The Recreator Chronicles,(2012),"[('wavve', ['₩1,000', 'HD'])]",,"['52%', '4.4 (1k)']","['공포 , SF , 스릴러']",['1시간 31분'],['Gregory Orr'],"['Stella Maeve', 'J. Mallory McCree', 'John de Lancie', 'Laura Moss', 'Alexander Nifong']","When a group of teenagers stumble upon a secret lab, they become part of a deadly experiment - The Recreator - evil human clones. Craig, Tracy and Derek come face to face with exact copies of themselves that have only one purpose; to find and kill their originals. With time running out it's up to the original group to destroy the lab and save themselves before they are replaced. Gregory Orr's exciting thriller brings science fiction to life with a sexy edge.",https://images.justwatch.com/poster/239548020/s276/cloned-the-recreator-chronicles.webp,
"열여덟, 열아홉",,(2012),"[('wavve', ['₩1,540', 'HD']), ('Naver Store', ['₩1,540', 'HD'])]","[('wavve', ['₩6,050', 'HD']), ('Naver Store', ['₩6,050', 'HD'])]","['71%', '6.4']","['로맨스 , 드라마']",['1시간 45분'],,"['Yoo Yeon-seok', 'Baek Jin-hee', 'Jung Heon', 'Uhm Hyun-kyung', 'Rie Young-zin', 'Lee Sung-min']","반쪽은 너무 닮은, 반쪽은 너무 다른 우린 한 날 한 시에 태어났다! 친구들에게 오해를 살만큼 사이가 좋은 이란성 쌍둥이 남매 호야(유연석 분)와 서야(백진희 분). 18살이 되던 겨울, 서야는 호야에게 숨겨둔 마음을 고백하지만 당황한 호야는 도망치듯 같은 반 도미(엄현경 분)와 사귀고, 이에 서야도 학교 여학생들의 로망인 몸짱 복싱부 선배 일강(정헌)과 충동적으로 사귀지만 곧 헤어진다. 하지만 엇갈린 네 사람의 갈등은 점점 커져만 가고..결국 호야는 갈등에 못 이겨 복싱을 시작한다. 터프하고 직설적인 복싱 코치 기주(이영진 분)의 트레이닝으로 어느새 성장한 호야는 신인왕전에서 드디어 일강과 마주하는데… 더 이상 도망치지 않을 것이다!",https://images.justwatch.com/poster/139223890/s276/yeolyeodeolb-yeolahob.webp,"[('Watcha', ['정액제', 'HD'])]"
버니드롭,うさぎドロップ,(2011),"[('wavve', ['₩1,400', 'HD'])]","[('Naver Store', ['₩1,400', 'HD'])]","['78%', '7.3 (1k)']","['코미디 , 드라마']",['1시간 54분'],['SABU'],"['Kenichi Matsuyama', 'Karina', 'Mana Ashida', 'Mirei Kiritani', 'Mayu Kitaki', 'Ruiki Sato', 'Go Ayano', 'Ryô Kimura', 'Atsuko Takahata', 'Chizuru Ikewaki', 'Jun Fubuki', 'Baijaku Nakamura', 'Wakato Kanematsu', ""Daikichi's aunt""]",외할아버지의 죽음으로 몇 년 만에 고향집에 내려온 다이키치. 하지만 외할아버지에게 숨겨놓은 딸 린이 있었다는 사실에 온 집안은 발칵 뒤집혀 있었다. 게다가 린의 나이는 겨우 여섯 살! 엄마 되는 사람은 흔적조차 없고 린의 양육 문제를 서로 미루려고만 하는 친척들의 이기적인 태도에 다이키치는 폭발하고 만다. 욱하는 심정으로 린에게 자신의 집으로 오라고 한 다이키치. 과연 다이키치는 린을 잘 키울 수 있을까? 그리고 린은 다이키치를 믿고 따를 수 있을까? 두 사람만의 특별하고 색다른 러브스토리가 시작된다!,https://images.justwatch.com/poster/47416962/s276/bunny-drop.webp,"[('Watcha', ['정액제', 'HD'])]"
고스트 패밀리: 구출 대작전,The Great Ghost Rescue,(2011),,"[('Naver Store', ['₩1,400', 'HD'])]","['55%', '4.8']","['판타지 , 공포 , 가족']",['1시간 19분'],['Yann Samuell'],"['Jason Isaacs', 'Georgia Groome', 'Toby Hall', 'Otto Farrant', 'Stephen Churchett', 'Kevin McKidd', 'Bob Goody', 'David Schaal', 'Anthony Stewart Head', 'Steven Mackintosh', 'Ben Forster', 'Akbar Kurtha', 'Christian Contreras', 'San Shella', 'Rosemary Leach', 'Ross McCormack', 'Niamh Webb', 'Daren Elliott Holmes', 'Emma Fielding', 'Tracy-Ann Oberman', 'Sidney Cole', 'Bill Ward', 'Paul Bailey']","1919년, 크래기 포드 고아원 옥상에서 장난을 치다 떨어져 죽은 험프리. 그는 유령이 되어 고아원 지하에서 살던 유령들과 한 가족이 된다. 옛 스코틀랜드 전투에서 다리를 잃은 아빠 해미쉬, 자매들과 함께 참수당한 엄마 메이블, 마녀로 몰려 익사한 누나 위니프리드, 인간 탄환으로 목숨을 잃은 형 조지와 함께. 92년 뒤 어느 날, 총리의 재선을 위한 재건 프로젝트로 험프리네 가족뿐만 아니라 전국에 퍼져있던 전 세계 유령들이 한 순간에 집을 잃고 쫓겨난다. 최악의 위기 속에서 험프리와 그의 가족은 앞장서서 런던 의회로 쳐들어 가는데…",https://images.justwatch.com/poster/87788245/s276/the-great-ghost-rescue.webp,"[('Watcha', ['정액제', 'HD'])]"
분노의 파이터,Brawler,(2011),"[('wavve', ['₩1,500', 'HD'])]",,"['44%', '3.9']","['드라마 , 액션']",['1시간 24분'],['Chris Sivertson'],"['Nathan Grubbs', 'Marc Senter', 'Bryan Batt', 'Michael Bowen']","파이터의 피를 타고난 바비와 찰리 형제는 미시시피 강의 허름한 선박 위 불법 격투판에서 돈을 번다. 격투를 사랑하며 성실히 돈을 버는 찰리와는 달리, 동생 바비는 화려한 파이터의 생활을 꿈꾸며 마약을 팔거나 사기를 치는 등 끊임없이 사고를 친다. 어느 날 바비는 대학생들에게 집단 폭행을 당하게 되고, 이를 구하려던 찰리는 무릎을 다쳐 결국 격투를 관두게 된다. 사랑하는 여자친구 `캣’을 위해 공사판에서 고된 일을 하던 찰리와, 그런 형을 아랑곳 않고 계속 말썽에 휘말리는 바비는 일생일대의 격투를 위해 링에 서게 되는데..",https://images.justwatch.com/poster/97638742/s276/bunnoyi-paiteo.webp,"[('Plex', ['무료', 'HD'])]"
온 투어,Tournée,(2010),"[('wavve', ['₩1,400', 'HD'])]",,"['71%', '6.5 (2k)']","['드라마 , Made in Europe , 코미디']",['1시간 51분'],['Mathieu Amalric'],"['Miranda Colclasure', 'Suzanne Ramsey', 'Dirty Martini', 'Julie Atlas Muz', 'Angela de Lorenzo', 'Pierre Grimblat', 'Mathieu Amalric', 'Alexander Craven', 'Damien Odoul', 'Ulysse Klotz']","Formerly successful television producer Joachim Zand returns from America to his native France, where he previously has left everything behind, including friends, enemies and his own children. In his company is a burlesque striptease troupe whom he has promised a grand performance in Paris. Together they tour the French port cities, staying at cheap hotels and making success along the way. Old conflicts are however reignated upon the return to the French capital. Joachim is betrayed by people from his past, making him lose the venue where they were to perform, and the Paris finale comes to nothing.",https://images.justwatch.com/poster/138999865/s276/on-tour.webp,"[('wavve', ['정액제', 'HD'])]"
Rites of Spring,,(2011),"[('wavve', ['₩1,200', 'HD'])]",,"['50%', '4.5 (2k)']","['스릴러 , 공포']",['1시간 21분'],['Padraig Reynolds'],"['Katherine Randolph', 'Anessa Ramsey', 'AJ Bowen', 'Hannah Bryan', 'Sonny Marinelli', 'Shanna Forrestall', 'Andrew Breland', 'James Bartz', 'Marco St. John']",A ransom scheme turns into a nightmare for a group of kidnappers who become victims of a horrifying secret that must be paid every spring.,https://images.justwatch.com/poster/63344983/s276/rites-of-spring.webp,
원피스 극장판: 3D 밀짚모자 체이스,ONE PIECE 3D 麦わらチェイス,(2011),"[('wavve', ['₩2,000', 'HD'])]","[('Naver Store', ['₩2,000', 'HD'])]",['75%'],['애니메이션'],['30min'],['Hiroyuki Satou'],"['Mayumi Tanaka', 'Kazuya Nakai', 'Akemi Okamura', 'Kappei Yamaguchi', 'Hiroaki Hirata', 'Kazuki Yao', 'Cho', 'Yuriko Yamaguchi', 'Ikue Otani']","밀짚모자해적단 필살기 총집합! `이제 3D로 느껴라!` 루피의 새로운 어드벤쳐, 세기의 모험을 체감하라! 스크린을 압도하는 해적단 필살기! 논스톱 3D 액션 퍼레이드! 루피에게 일대 사건이 발생한다! 어린 시절, 동경의 대상인 해적 ‘빨간 머리 샹크스’와 약속을 하고 맡았던 생명보다 더 소중한 보물인, 밀짚모자가 홀연히 사라져버린 것이다! ‘나는 해적왕이 되겠다!’는 꿈을 가진 온갖 위기상황을 거쳐가면서도 한시도 몸에서 떼지 않았던 밀짚모자가 없어지다니!? 혈안이 되어 찾는 루피와 그 일행은 우여곡절 끝에 밀짚모자를 입에 문 독수리를 발견한다. 하늘을 자유롭게 날아다니는 독수리를 쫓아, 위대한 항로 ‘그랜드 라인’의 위험 지대로 배를 몰게 된 사우전드 써니호! 그리고 목적지에서 기다리고 있는 해군 기지! 과연 ‘밀짚모자 해적단’ 은 트레이드 마크인 밀짚모자를 되찾을 수 있을 것인가!? 루피의 끝없는 모험의 계기가 된 밀짚모자를 놓고, 흥미진진 최강의 쟁탈전이 시작된다!",https://images.justwatch.com/poster/17811404/s276/weonpiseu-3d-miljipmoja-ceiseu.webp,
와이 스톱 나우,Why Stop Now?,(2012),"[('wavve', ['₩1,000', 'HD'])]","[('Naver Store', ['₩1,000', 'HD'])]","['61%', '5.6 (7k)']","['코미디 , 드라마']",['1시간 28분'],"['Phil Dorling , Ron Nyswaner']","['Jesse Eisenberg', 'Melissa Leo', 'Tracy Morgan', 'Isiah Whitlock Jr.', 'Sarah Ramos', 'Emma Rayne Lyle', 'Stephanie March']","마약 중독자인 엄마 페니와 의붓 여동생 니콜을 돌보며 살고 있는 일라이는 엄마를 재활원에 입원 시키고 음대 오디션을 보려고 한다. 하지만 보험이 없다는 이유로 입원을 할 수 없게 되고, 간호사는 일부러 마약을 하고 오라고 권유한다. 그들은 마약상 스프링클과 블랙과 함께 스페인어로만 말하는 마약 공급자를 만나러 가고, 마침 스페인어를 할 줄 아는 일라이의 도움으로 우여곡절 끝에 마약을 얻어내지만 그 와중에 피아노를 쳐야하는 일라이의 손이 다치고 만다. 일라이는 오디션에서 힘들게 연주를 시작하지만 다친 손 때문에 중간에 포기하고 마는데... 일라이는 이 난리통을 극복하고 재기할 수 있을까?",https://images.justwatch.com/poster/20065957/s276/why-stop-now.webp,
라아반,रावण,(2010),,"[('Naver Store', ['₩1,000'])]","['55%', '5.4 (4k)']","['스릴러 , 드라마 , 범죄 , 로맨스 , 액션']",['2시간 18분'],['Mani Ratnam'],"['Abhishek Bachchan', 'Aishwarya Rai Bachchan', 'Vikram', 'Govinda', 'Ravi Kishan', 'Priyamani', 'Nikhil Dwivedi', 'Tejaswini Kolhapure', 'Pankaj Tripathi']","A bandit leader kidnaps the wife of the policeman who killed his sister, but later falls in love with her.",https://images.justwatch.com/poster/11209788/s276/raavan.webp,"[('Watcha', ['정액제', 'HD'])]"
True Bloodthirst,,(2012),,"[('Naver Store', ['₩3,500', 'HD'])]","['52%', '4.2 (1k)']","['SF , 액션 , 공포']",['1시간 30분'],['Todor Chapkanov'],"['Claudia Bassols', 'Neil Jackson', 'Ben Lambert', 'Andrew-Lee Potts', 'Heida Reed', 'Roark Critchlow', 'Yana Marinova', 'Ewan Bailey', 'Hristo Balabanov']","Vampires and humans live in a future world where they co-exist – barely. Now, both groups find themselves under attack by a new species of super vampire. The surviving humans and vampires join forces to obliterate the vicious man-sized bat vampires which threaten to shatter the uneasy peace between the two species.",https://images.justwatch.com/poster/129332562/s276/true-bloodthirst.webp,
레드 주식회사,Redd Inc.,(2012),"[('wavve', ['₩1,500', 'HD'])]",,"['64%', '5.9 (2k)']","['스릴러 , 코미디 , 공포']",['1시간 33분'],['Daniel Krige'],"['Nicholas Hope', 'Kelly Paterniti', 'Sam Reid', 'Alan Dukes', 'James Mackay', 'Hayley McElhinney', 'Tom Savini', 'Bridie Latona', 'Felix Williamson', 'Ella Scott Lynch', 'Daniel Krige']",여섯 명의 사람들이 잔인한 살인마에게 납치된다. 정신을 차려 보니 그들은 책상 앞에 묶인 채로 마치 사무실에서 일하듯이 앉아 있다. 그들을 납치한 토마스는 자신이 인사부의 담당이라며 그들에게 일을 시킨다. 자신의 말에 반항하는 이들에게는 엄청난 문책이 뒤따르는데… 와 의 뒤를 잇는 완성도 높은 밀실 호러 스릴러. (2012년 제16회 부천국제판타스틱영화제),https://images.justwatch.com/poster/56819631/s276/redeu-jusighoesa.webp,
파라노말 이니테이션,American Horror House,(2012),,"[('Naver Store', ['₩1,000', 'HD'])]","['48%', '3.8']",['공포'],['1시간 25분'],['Darin Scott'],"['Alessandra Torresani', 'Morgan Fairchild', 'Salina Duplessis', 'Jackie Tuttle', 'Carol Jean Wells', 'Cameron Deane Stewart', 'Ruby Lou Smith', 'Isabel Cueva', 'Jennie Kamin', 'Ashton Leigh', 'Donna DuPlantier', 'Oscar Gale', 'Jaren Mitchell', 'Gralen Bryant Banks', 'Isaiah LaBorde']","미국 동부해안 지역에서 가장 전통 있는 대학인 르루 예술대학의 여학생클럽인 ‘카파’에 가입하기 위해서는 클럽회장이 할로윈데이에 주는 특별한 미션을 성공해야 한다. 클럽회장 콜린은 여학생클럽 전통에 따라, 다리아, 사라, 에바 등의 클럽 신입생들에게 남학생클럽의 상징인 마스코트를 훔쳐오라는 첫 미션을 준다. 첫 번째 미션을 무사히 마친 신입생들은 무사히 파티에 참여하는데, 미션을 수행하면 할수록 이상한 일들이 벌어지기 시작한다. 한 명씩 사라지기 시작하고 유령들이 나타나 학생들을 공격하기 시작한 것이다. 이 모든 일의 배후에 집주인인 마고 선생님이 있다는 사실을 깨닫고 참사를 막아보려 하지만 이 집은 이미 유령에게 점령당해 어떤 방법도 통하지 않는데...",https://images.justwatch.com/poster/132923302/s276/american-horror-house.webp,
럭키 트러블,Выкрутасы,(2011),"[('wavve', ['₩2,500', 'HD'])]",,"['66%', '6.0 (3k)']","['로맨스 , 코미디 , 스포츠']",['1시간 30분'],['Levan Gabriadze'],"['Konstantin Khabenskiy', 'Milla Jovovich', 'Ivan Urgant', 'Sergey Garmash', 'Vladimir Menshov', 'Olga Tumaykina', 'Galina Loginova', 'Sergei Selin', 'Aleksandr Robak', 'Roman Madyanov', 'Tatyana Lyutaeva', 'Aleksandra Nazarova', 'Fyodor Savelyev', 'Vitaly Filippovykh']","위대한 작가의 꿈을 안고 모스크바에 도착한 팔치키 시골 선생님 슬라바. 기대했던 책 출판은 물거품이 되었지만, 교통사고로 아름다운 여인 나디아를 만나게 된다. 모스크바에서 나디아와 행복한 시간을 보낸 슬라바는 고향으로 돌아기가 전 그녀에게 청혼하고 슬라바는 팔치키로 돌아가 학교에 사직서를 쓰기로 한다. 꿈꾸던 결혼식을 앞두고 모스크바로 출발하려던 슬라바는 기차역에서 예상치 못한 행사를 맞닥뜨린다. 러시아 전역의 축구팀들이 참가하는 러시아 청소년컵 축구대회가 팔치키에서 열리게 된 것. 행사장에서 슬라바는 팔치키팀 감독으로 오해를 사고 당장 다음 날 축구 경기를 치러야 하는 상황이 오고만다. 모스크바에서 홀로 결혼식을 준비하던 나디아는 슬라바가 오지 못할것이라고는 생각지도 못하며 들떠 있다. 길거리에서 만난 소매치기 소년과 그 친구들을 팔치키 축구팀으로 섭외하기 시작한 슬라바는 과연 무사히 모스크바로 가서 결혼식을 치를 수 있을까? (Naver 영화)",https://images.justwatch.com/poster/176193839/s276/vykrutasy.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
고死 두 번째 이야기: 교생실습,고사 두 번째 이야기: 교생실습,(2010),"[('Naver Store', ['₩1,000', 'HD'])]","[('Naver Store', ['₩5,500', 'HD'])]","['61%', '5.0']",['공포'],['1시간 22분'],['Yoo Sun-dong'],"['Kim Su-ro', 'Hwang Jung-eum', 'Park Ji-yeon', 'Yoon Shi-yoon', 'Park Eun-bin', 'Ji Chang-wook', 'Yoon Seung-ah', 'Lee Ah-jin', 'Nam Bo-ra', 'Yeo Min-Joo', 'Son Ho-jun', 'Kwon Hyun-sang', 'Park Jin-su', 'Yool Chan', 'Kim Byung-ok', 'Kim Min-young', 'Kim Bo-mi', 'Jeon Boram', 'Lee Yong-nyeo', 'Bae Soo-kyung']","“올해도 전교 1등부터 30등까지 생활관에서 특별보충수업을 한다.” 명문 사립 우성 고등학교는 여름 방학이 시작되면, 전교 1등부터 30등까지 생활관 특별 수업을 받게 된다. 전교 1등이자 우성고 최고의 엄친딸 지윤, 고교 야구선수 킹카 관우, 내성적이고 말이 없는 세희, 전직 고교 수영선수 나래, 로얄 스터디 그룹의 만년 2등 수일, 예민한 성격으로 성적 강박증을 가지고 있는 현아, 교내 스타 커플 용란과 JK 등 엘리트 학생 30명, 그리고 이들의 담임 선생님인 차선생과 새로 부임해 온 교생 선생님 은수가 학교에 남게 되었다. 첫 날의 수업이 끝나고 어느덧 밤 12:00. 갑자기, 조용한 독서실에서 찢어질 듯한 비명소리가 들려오고, 그 순간 천장에서 온 몸이 묶인 채 끔찍하게 살해 된 시체가 떨어진다. 그리고 교내 스피커를 통해서 들려오는 목소리… “지금부터 특별반 여러분을 대상으로 시험을 치르겠습니다. 지금부터 여러분 중에서 한 명씩 죽어나가게 될 것입니다” 아비규환의 상태에 빠진 아이들, 학교를 빠져 나가보려고 하지만, 이미 밖으로 통하는 모든 문은 잠겨진 상태. 생활관을 나가기 위해 온갖 수단을 동원해보지만 피할 수도, 맞설 수도 없는 상황,",https://images.justwatch.com/poster/174731656/s276/death-bell-2.webp,
The Haunting of Whaley House,,(2012),"[('wavve', ['₩1,200', 'HD'])]","[('Naver Store', ['₩1,200', 'HD'])]","['47%', '3.8 (2k)']","['공포 , 스릴러 , 드라마 , 판타지']",['1시간 30분'],['Jose Prendes'],"['Stephanie Greco', 'Alex Arleo', 'Arielle Brachfeld', 'Graham Denman', 'Carolina Groppa', 'Jason Owsley', 'Howard McNair', 'Lynn Lowry', 'Alfred Rubin Thompson', 'Leigh Davis', 'Mindy Robinson', 'Jon Briddell', 'Maria Olsen', 'Shawn C. Phillips']","When a tour guide breaks into America's Most Haunted House, a bit of amateur ghost hunting with friends turns into more horror than they could have ever imagined.",https://images.justwatch.com/poster/126895012/s276/the-haunting-of-whaley-house.webp,
내 남자의 순이,,(2010),,"[('Naver Store', ['₩1,000'])]",[],['코미디'],['1시간 31분'],['Kim Ho-joon'],"['Park Hae-mi', 'Shin Yi', 'Lee Tae-sung']","인생 역전 한방을 노리고 모든 것을 올인한 수상한 가족 세라, 라미, 광수와 사채업자 일당 춘배파의 50억 다이아몬드 ‘순이’ 쟁탈전을 그린 코미디",https://images.justwatch.com/poster/23335266/s276/nae-namjayi-suni.webp,
청원,गुज़ारिश,(2010),,,"['80%', '7.5 (18k)']","['로맨스 , 드라마']",['2시간 6분'],['Sanjay Leela Bhansali'],"['Hrithik Roshan', 'Aishwarya Rai Bachchan', 'Shernaz Patel', 'Aditya Roy Kapur', 'Swara Bhaskar', 'Suhel Seth', 'Makrand Deshpande', 'Rajit Kapoor', 'Monikangana Dutta', 'Nafisa Ali', 'Priyanka Bose', 'Achint Kaur', 'Olivier Lafont']","대저택, 그 곳엔 14년 전 사고로 전신마비가 되어 감옥 같은 생활을 하고 있는 당대 최고의 마술사 이튼이 있다. 그의 곁엔 12년간 한결같이 간호해주는 매력적인 간호사 소피아가 있다. 그녀의 도움을 받아 장애를 극복하고 사람들에게 희망을 주는 라디오 DJ로 제2의 삶을 살아가고 있지만 그에겐 한 순간의 자유도 허락되지 않는다. 불행을 감춘 채 평화로운 일상을 보내던 어느날, 이튼은 오랜 친구인 변호사를 불러 한 가지 부탁을 하게 된다. 그리고 행복을 위한 이튼의 간절한 안락사 청원이 시작되는데... 사랑해서 보낼 수 없는 사람, 사랑하기 때문에 보내주는 사람, 진정한 삶과 행복을 위한 그의 마지막 선택은?",https://images.justwatch.com/poster/151003602/s276/ceongweon.webp,"[('Netflix', ['정액제', 'HD'])]"
The Great Bear,Den kæmpestore bjørn,(2011),,"[('Naver Store', ['₩1,000', 'HD'])]","['65%', '5.6']","['판타지 , Made in Europe , 애니메이션 , 가족']",['1시간 15분'],['Esben Toft Jacobsen'],"['Markus Rygaard', 'Alberte Blichfeldt', 'Flemming Quist Møller', 'Elith Nulle Nykjær']","Jonathan, 11, usually spends his vacations alone with his grandfather who lives on the edge of a vast forest populated by mythical animals. This year his kid sister Sophie joins him. But it's not cool to be stuck with a little sister, so he does what he can to avoid her. He succeeds entirely too well: Sophie is kidnapped by a giant, 1000-year-old bear. Now, Jonathan has to venture into the heart of the forest to confront the strange beings that dwell there and rescue his sister.",https://images.justwatch.com/poster/174365550/s276/the-great-bear.webp,"[('Watcha', ['정액제', 'HD'])]"
Jesus Loves Me,Jesus liebt mich,(2012),,,"['61%', '5.5 (1k)']","['코미디 , Made in Europe']",['1시간 36분'],['Florian David Fitz'],"['Florian David Fitz', 'Jessica Schwarz', 'Hannelore Elsner', 'Henry Hübchen', 'Michael Gwisdek', 'Palina Rojinski', 'Peter Prager', 'Nicholas Ofczarek', 'Marc Benjamin Puch', 'Christine Schorn', 'Johannes Allmayer', 'Dorothea Walda']",A girl who always tends to fall in love with the wrong guy meets one who believes the world is coming to an end next Tuesday.,https://images.justwatch.com/poster/139057664/s276/jesus-liebt-mich.webp,"[('Watcha', ['정액제', 'HD'])]"
꿈은 이루어진다,,(2010),"[('wavve', ['₩1,200', 'HD'])]","[('Naver Store', ['₩1,400', 'HD'])]","['69%', '6.4']",['코미디'],['1시간 53분'],['Gye Yun-Sik'],"['Lee Sung-jae', 'Jung Kyung-ho', 'Choi Ji-hyeon', 'Yoo Tae-woong', 'Choo Sang-Rok', 'Lee Jeong-ho-I', 'kim Dam-hee', 'Ji Dae-han', 'Lee Seon-ho', 'Heo Joong-hyeok', 'Choi Sang-hak', 'Lee Jeong-joon', 'Yoo Min-hyeok', 'Lee Dal-Hyeong', 'Kim Nan-joo', 'Park Ji-hoon', 'Yoo Ga-yeong', 'Sim-wan', 'Oh Seong-tae', 'Lee Soo-ho', 'Lee Jeong-hyeon-I', 'Park Yong-soo', 'Yoon Da-kyung', 'Yoo Dong-gyoon', 'Choi Si-chan', 'Jeong Jae-hoon', 'Moon Geon', 'Yoon Se-min', 'Park Jae-hoon', 'Lee Jong-hwan', 'Yoo Jeong-ho', 'Kim Yeong-yong', 'Kim Se-kyeong', 'Kim Won-beom', 'Son Yoon-sang', 'Seo Gil-ja', 'Kim You-jung', 'Kim Byung-chul', 'Kang Seong-jin', 'Oh Tae-kyung']","'축구공에도 사상이 있다!'라는 생각으로 남한으로부터 넘어온 물건을 두고도 사상적 고찰을 서슴지 않는 북한 비무장지대 동부전선 43GP(Guard Post, 휴전선 감시 초소) 부대원들. 그 중 1분대의 분대장은 한국의 축구선수 계보를 꿰고 있을 정도로 열혈 축구팬이다. 분대원들과 수색 도중 발견한 멧돼지를 잡기 위해 고군분투하던 1분대장은 우연히 수색 구역에서 남측 병사들과 맞닥뜨리게 되고. 긴장 속의 대치 끝에 멧돼지를 함께 나눠먹는 관계로 발전하게 된다. 2002년 한일 월드컵이 한창인 때, 축구에 대한 관심과 남측 병사들의 호의에 북측의 부대원들은 조심스레 마음을 열고 은밀한 교류를 시작한다. 1분대의 무전병에 의해 남측의 주파수가 잡히게 되고, 그 주파수는 다름 아닌 남한의 한일월드컵 중계 방송이었는데...",https://images.justwatch.com/poster/242914269/s276/on-the-pitch.webp,"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]"
담배 연기 속에 피는 사랑,志明與春嬌,(2010),,,"['77%', '7.2 (2k)']","['코미디 , 드라마 , 로맨스']",['1시간 44분'],['Pang Ho-cheung'],"['Shawn Yue', 'Miriam Yeung', 'Cheung Tat-Ming', 'Chui Tien-You', 'Miu Fei-Lam', 'Jo Kuk Cho-Lam', 'Vincent Kok', 'Charmaine Fong', 'Sharon Luk', 'Roy Szeto', 'Matt Chow Hoi-Kwong', 'Isabel Chan', 'Kenny Wong Tak-Bun', 'Singh Hartihan Bitto', 'Eric Chan Hoi-Yan', 'Felix Lok Ying-Kwan', 'Frank Liu Zong-Ji', 'Clifton Kwan', 'Jean-Luc Bonefacino']","홍콩 정부의 금연 정책에 따라 구석으로 내몰린 애연가들. 그렇게 담배를 끈으로 다양한 직종의 사람들이 흡연 구역에 모여 이야기를 나누게 된다. 그중 담배 연기와 함께 피어나는 사랑이 있었으니! 두 흡연 남녀의 이야기, 들어 보실래요?",https://images.justwatch.com/poster/60258896/s276/love-in-a-puff.webp,"[('Netflix', ['정액제', 'HD'])]"
