제목,원제,개봉일,스트리밍,대여,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,구매
사랑의 선택,Scissors,(1991),"[('wavve', ['정액제', 'HD'])]","[('wavve', ['₩1,500', 'HD'])]","['56%', '5.2 (2k)']","['스릴러 , 공포']",['1시간 45분'],['Frank De Felitta'],"['Sharon Stone', 'Steve Railsback', 'Ronny Cox', 'Michelle Phillips', 'Vicki Frederick', 'Larry Moss', 'Ivy Bethune', 'Kelly Noonan', 'Jim Shankman']","어린 시절, 엄마가 계부를 가위로 살해하는 장면을 목격한 뒤로 남들과 어울리지 못하고 혼자서 사는 미혼의 앤지는 낡은 인형을 가지고 정신불안정의 상태로 살아간다. 어느날, 자신의 아파트로 돌아가던 중 붉은 수염의 괴한으로부터 추행을 당할 뻔 했으나 가지고 있던 가위로 찔러 화를 면한다. 이웃에 사는 알렉스의 도움으로 충격으로부터 조금씩 회복을 하고 둘은 가까워지게 된다. 한편 앤지의 정신 상담을 해주는 카터 박사는 부인의 부정을 참지 못하고 부인의 정부를 살해한 뒤 앤지의 과거를 이용해 그녀에게 죄를 덮어씌우려고 한다. 덫에 걸린 앤지는 빈집에 갇히게 되고 그곳에서 카터 박사의 음모에 걸려들어 정신을 잃고 과거 속에서 헤매게 된다. 그러던 중 가짜 붉은 수염이 떨어져 있는 걸 발견하고 잠시 문이 열려진 틈을 타서 빠져나오게 되고 도리어 카터 박사가 갇혀버리고 만다. 마침 앤지를 찾으러 온 알렉스와 만나 사랑을 확인한다.",https://images.justwatch.com/poster/173437232/s276/sarangyi-seontaeg.webp,
포이즌,Poison,(1991),,"[('wavve', ['₩1,000', 'HD'])]","['70%', '6.4 (4k)']","['공포 , 음악 , SF , 드라마 , 로맨스']",['1시간 25분'],['Todd Haynes'],"['Scott Renderer', 'James Lyons', 'Edith Meeks', 'Millie White', 'Buck Smith', 'Rob LaBelle', 'John Leguizamo', 'Anne Giotta', 'Evan Dunsky', 'Susan Norman', 'Marina Lutz', 'Angela M. Schreiber', 'Larry Maxwell']","호러, 드라마, SF가 뒤섞인 기이한 잡종의 이 영화는 세 편의 이야기를 한데 엮은 전연 독창적이고 자극적인 영화이다. 첫 번째 이야기에서 의사는 인간의 성욕의 근원을 발견한 후 기이하게 변모된다. 다음 이야기에서 두 죄수는 강박적인 동성애적 관계에 휘말리게 된다. 마지막의 환상적인 이야기는 더욱 기이하다. 살인을 저지르고 가족과 마을을 떠난 일곱 살 짜리 소년의 이야기 속에서 가족의 세계로부터 해방된 어린 소년은 자신이 벌인 일들을 바라보는 세인의 시선을 의아해 한다. 음울하면서도 더없이 매혹적인 은 각각 서로 다른 영화적 양식을 경유하며 부조리한 상상력을 교직한다.",https://images.justwatch.com/poster/168814120/s276/poijeun.webp,
안녕하세요,お早よう,(1959),,,"['84%', '7.9 (9k)']","['코미디 , 드라마 , 가족']",['1시간 34분'],['Yasujirō Ozu'],"['Keiji Sada', 'Yoshiko Kuga', 'Chishū Ryū', 'Kuniko Miyake', 'Haruko Sugimura', 'Kôji Shitara', 'Masahiko Shimazu', 'Kyôko Izumi', 'Taiji Tonoyama', 'Toyo Takahashi', 'Sadako Sawamura', 'Eijirō Tōno', 'Teruko Nagaoka', 'Eiko Miyoshi', 'Haruo Tanaka', 'Akira Ôizumi', 'Fujio Suga', 'Akio Satake', 'Keijirô Morozumi', 'Mutsuko Sakura', 'Norikazu Takeda', 'Yôko Chimura', 'Hajime Shirata', 'Masuo Fujiki', 'Toshio Shimamura', 'Tsûsai Sugawara', 'Koji Shidara', 'Ayako Senno', 'Yoshie Minami', 'Yukari Yamashina', 'Kazuko Mitsukawa', 'Junko Hara']","오밀조밀 모여 서로가 서로에 대해 훤히 알고 지내는 마을에서 이웃들간에 사소한 여러 가지 일들이 벌어진다. 접촉이 많으니 만큼 별 것 아닌 마찰도 많고 서로에 대한 구설수도 많다. 보수적인 이웃사람들로부터 문제아로 손가락질받는 신세대 부부는 텔레비젼을 갖고 있고, 그래서 그 집에는 동네 아이들이 항상 들끓는다. 어른들은 아이들이 신세대 부부와 접촉하는 것을 못마땅해 하며 눈살을 찌푸린다. 그 집에 모이는 아이들 중에는 미노루와 이사무 형제도 끼어 있는데, 부모에게 텔레비젼을 사달라고 조른다. 부모는 안된다고 딱 잘라 말하지만, 어린 두 꼬마는 묵비권을 행사하며 불만을 표시한다. 가족들에게는 물론 이웃 어른에게나 학교 선생님에게까지도 계속되는 침묵의 시위는 많은 문제를 야기시킨다. 아침인사를 먼저 건낸 이웃집 아주머니는 아이들의 묵묵부답이 부모가 시켜서 일부러 모른 척하는 것이 아닐까 하는 오해를 하게 되고, 이것은 이웃간의 불화를 조장하는 하나의 시발점이 된다. 또 공납금을 내야 하는데, 스트라이크 중인 아이들은 돈달라는 말을 못하고 학교에서 벌을 서게 된다. 사면초가인 상황을 깨달은 형제는 가출을 하게 되는데, 가정교사 후쿠미 선생이 뒤늦게 모든 사실을 알게 되고 아이들을 찾아 집으로 돌려 보낸다. 돌아온 그들은 새로 사놓은 텔레비젼을 발견하고, 다시 그 전처럼 친구들과 방귀끼기 게임을 하며 학교를 다닌다.",https://images.justwatch.com/poster/238958701/s276/annyeonghaseyo.webp,"[('Naver Store', ['₩1,000'])]"
카산드라 크로싱,The Cassandra Crossing,(1976),"[('wavve', ['정액제', 'HD'])]","[('wavve', ['₩1,500', 'HD'])]","['69%', '6.4 (8k)']","['스릴러 , 드라마 , Made in Europe']",['2시간 9분'],['George P. Cosmatos'],"['Sophia Loren', 'Richard Harris', 'Martin Sheen', 'O.J. Simpson', 'Ava Gardner', 'Burt Lancaster', 'Lionel Stander', 'Ann Turkel', 'Ingrid Thulin', 'Lee Strasberg', 'Lou Castel', 'John Phillip Law', 'Ray Lovelock', 'Alida Valli', 'Stefano Patrizi', 'Thomas Hunter', 'Angela Goodwin', 'Carlo De Mejo', 'John P. Dulaney', 'Fausta Avelli']","세 명의 테러리스트가 제네바의 국제 건강 기구에 침입한다. 그러나 출입 금지 구역에서 벌어진 총격전으로 한명은 사살되고, 나머지 두 사람은 전염성이 강한 치명적인 병균에 노출된다. 그리고 그들 중 한 명이 1,000여명의 승객을 태운 대륙 종단 초특급 열차에 무단 승차한다. 이 사실을 알게 된 미 국방부 정보국은 비상이 걸리고, 맥켄지 대령(Mackenzie: 버트 랭카스터 분)이 사건을 담당하게 된다. 그의 임무는 세균이 퍼지는 것을 막는 동시에 어떤 일이 있어도 이 일이 알려지지 않도록 하는 것이다. 한편 맥켄지와의 무선 연락으로 이 사실을 알게 된 챔버레인 박사(Dr. Jonathan Chamberlain: 리차드 해리스 분)는 그 기차에 탄 수많은 인명을 구하기 위해 맥켄지에게 협조한다. 그러는 중에도 열차 안에는 세균에 감염된 환자들이 점점 늘어가고 있었다. 하지만 챔버레인 박사는 격리 시설로 향하는 도중 지나게 되는 '카산드라 크로싱' 이라는 다리의 안정성에 의문을 제기하고, 열차 전체를 생매장하려는 맥켄지의 음모를 깨닫게 된다.",https://images.justwatch.com/poster/198760229/s276/kasandeura-keurosing.webp,
The Cruel Sea,,(1953),"[('Watcha', ['정액제', 'HD'])]",,"['78%', '7.5 (4k)']","['드라마 , 전쟁']",['2시간 6분'],['Charles Frend'],"['Jack Hawkins', 'Donald Sinden', 'Denholm Elliott', 'John Stratton', 'Stanley Baker', 'Liam Redmond', 'Meredith Edwards', 'Bruce Seton', 'John Warner', 'Barry Letts', 'Gerard Heinz', 'Fred Griffiths', 'Glyn Houston', 'Virginia McKenna', 'Megs Jenkins', 'June Thorburn', 'Moira Lister', 'Alec McCowen', 'Leo Phillips', 'Dafydd Havard', 'Laurence Hardy', 'Sam Kydd', 'John Singer', 'Barry Steele', 'Gerik Schjelderup', 'Gaston Richer', 'Andrew Cruickshank', 'Kenn Kennedy', 'Harold Goodwin', 'George Curzon', 'Anthony Snell', 'Ronald Simpson', 'Don Sharp', 'Herbert C. Walton', 'Russell Waters', 'Harold Jamieson', 'Warwick Ashton', 'Walter Fitzgerald', 'Paddy Joyce', 'Richard Leech', ""Jim O'Brady"", 'Alan Webb']","At the start of World War II, Cmdr. Ericson is assigned to convoy escort HMS Compass Rose with inexperienced officers and men just out of training. The winter seas make life miserable enough, but the men must also harden themselves to rescuing survivors of U-Boat attacks, while seldom able to strike back. Traumatic events afloat and ashore create a warm bond between the skipper and his first officer",https://images.justwatch.com/poster/254170007/s276/the-cruel-sea.webp,"[('Naver Store', ['₩1,200', 'HD'])]"
스톤 콜드,Stone Cold,(1991),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,500', 'HD'])]","['67%', '6.0 (7k)']","['스릴러 , 액션 , 범죄 , 드라마']",['1시간 32분'],['Craig R. Baxley'],"['Brian Bosworth', 'Lance Henriksen', 'William Forsythe', 'Arabella Holzbog', 'Sam McMurray', 'Richard Gant', 'Paulo Tocha', 'David Tress', 'Evan James', 'Tony Pierce', 'Billy Million', 'Robert Winley', 'Gregory Scott Cummins', 'Demetre Phillips', 'Magic Schwarz', 'Laura Albert', 'Brenda James', 'Matt Johnston', 'Kevin Page']","수백명의 오토바이족들이 브라더후드라는 집단을 조직하여 살인, 방화, 미약거래를 일삼는다. 이들은 차츰 규모가 비대해지면서 군대와 같은 조직력을 갖게 된다. 전 시민을 공포의 도가니로 몰아넣은 이 집단을 잡으려 정부는 혈안이 되지만 쉽사리 해결되지 않는다. FBI는 브라더후드에 침투할 요원으로 죠를 스톤 콜드라는 이름으로 파견한다. 그의 임무는 그들의 요인 암살, 종교지도자및 판사 살해사건의 증거를 확보하는 것이다. 죠는 부라더후드 두목의 환심을 사기 위해 위장 살인을 한뒤 조직에 입단한다. 그리고 조직에서 탈퇴하려는 두목의 애인 낸시에게 접근하여 정보를 얻어낸다. 어느날 죠는 정보제공형사 도크리와 접선하던 중 조직의 일원에게 발각되는데 시시각각 다가오는 위기의 순간, 죠는 가공할 만한 액션으로 위기를 모면하고, 조직을 파괴해 나간다.",https://images.justwatch.com/poster/175242671/s276/seuton-koldeu.webp,"[('Naver Store', ['₩1,500', 'HD'])]"
올카,Orca,(1977),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,500', 'HD'])]","['66%', '5.7 (11k)']","['공포 , 드라마 , 스릴러 , Made in Europe']",['1시간 32분'],['Michael Anderson'],"['Richard Harris', 'Charlotte Rampling', 'Will Sampson', 'Bo Derek', 'Keenan Wynn', 'Robert Carradine', 'Scott Walker', 'Peter Hooten', 'Wayne Heffley', 'Vincent Gentile', 'Don Barry']",새끼를 밴 어미가 인간에게 잡혀 죽자 돌고래가 복수를 시작한다. 배를 부수고 사람을 해치는 등 돌고래의 횡포가 게속되자 어부들은 돌고래를 죽일 계획을 진행한다.,https://images.justwatch.com/poster/219336500/s276/olka.webp,"[('Naver Store', ['₩1,200', 'HD'])]"
파계,The Nun's Story,(1959),,,"['79%', '7.5 (10k)']","['전쟁 , 드라마']",['2시간 26분'],['Fred Zinnemann'],"['Audrey Hepburn', 'Peter Finch', 'Edith Evans', 'Peggy Ashcroft', 'Dean Jagger', 'Mildred Dunnock', 'Beatrice Straight', 'Patricia Collinge', 'Rosalie Crutchley', 'Ruth White', ""Barbara O'Neil"", 'Margaret Phillips', 'Patricia Bosworth', 'Colleen Dewhurst', 'Stephen Murray', 'Lionel Jeffries', 'Niall MacGinnis', 'Eva Kotthaus', 'Molly Urquhart', 'Dorothy Alison', 'Jeanette Sterke', 'Errol John', 'Diana Lambert', 'Orlando Martins', 'Penelope Horner', 'Charles Lamb', 'Ave Ninchi', ""Richard O'Sullivan"", 'Frank Singuineau', 'Elsa Albani', 'Gabriella Andreini', 'Juan Aymerich', 'Grazia De Rossi', 'Giovanna Galletti']","가브리엘(오드리 헵번 분)은 벨기에의 유명한 의사의 딸. 사랑하는 청년의 어머니가 정신병자이기 때문에 결혼하지 못한 것을 비관해 평소 동경해 온 수녀 생활을 하게 된다. 물론 부모들은 그에 대해 반대했다. 그녀는 모범적인 수녀로 벨기에령 콩고의 간호 수녀가 되어 열대 지방으로 떠난다. 그러나 과로 때문에 폐결핵에 걸려 현지 의사의 도움으로 치료하지만 결국, 잉글버트 송환문제로 본국으로 송환된다. 제2차 대전이 발발하고 전선에 나간 부친이 전사하자, 그녀는 수녀 생활을 청산하고 종군 간호원이 된다.",https://images.justwatch.com/poster/37214701/s276/pagye.webp,"[('Naver Store', ['₩1,000'])]"
로빈과 마리안,Robin and Marian,(1976),,"[('Naver Store', ['₩1,300', 'HD'])]","['71%', '6.5 (12k)']","['액션 , 드라마 , 로맨스']",['1시간 42분'],['Richard Lester'],"['Sean Connery', 'Audrey Hepburn', 'Robert Shaw', 'Richard Harris', 'Nicol Williamson', 'Denholm Elliott', 'Ronnie Barker', 'Ian Holm', 'Kenneth Haigh', 'Bill Maynard', 'Esmond Knight', 'Veronica Quilligan', 'Peter Butterworth', 'John Barrett', 'Kenneth Cranham', 'Victoria Abril', 'Montserrat Julió', 'Victoria Hernández Sanguino', 'Margarida Minguillón']","Robin Hood, aging none too gracefully, returns exhausted from the Crusades to woo and win Maid Marian one last time.",https://images.justwatch.com/poster/140942696/s276/robin-and-marian.webp,"[('Naver Store', ['₩5,000', 'HD'])]"
신용문객잔,新龍門客棧,(1992),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,540', 'HD']), ('Naver Store', ['₩1,540', 'HD'])]","['78%', '7.3 (4k)']","['액션 , 스릴러']",['1시간 44분'],['Raymond Lee Wai-Man'],"['Brigitte Lin', 'Maggie Cheung', 'Tony Leung Ka-fai', 'Donnie Yen', 'Elvis Tsui', 'Xiong Xin-Xin', 'Liu Xun', 'Yen Shi-Kwan', 'Lawrence Ng', 'Charlie Yuen Cheung-Yan', 'Yuen Bun']","명나라 태종 집권기에 환관이 득세하여 경성에 12감과 13곳의 국고, 4사 8국, 24개의 관할을 설립하여 천하를 호령했다. 그 중에서 정보감찰을 맡던 동창의 세력이 가장 강성했다. 동창은 정적을 제거하고자 나라 곳곳에서 돈으로 흉악범을 끌여들여 중악무도한 궁수 부대를 조직하고 비밀리에 혹독한 훈련을 시켰다. 군수품 조달을 담당한 동창은 신무기를 이용하여 정적을 대상으로 시험하여 정적 제거와 훈련을 병행했다. 대퇴감 조소흠은 동창의 우두머리로 천자를 억압하고 정권을 장악하고 문무 대신을 아무르며 동창을 사병으로 삼아 백성을 유린하였다. 당시 백성은 동창을 두려워하였고 온 천하에 피를 부르는 폭풍우가 몰아쳤다. 동창에 반대하던 병부상서 양우헌을 제거한 조소흠(견자단 분)은 양우헌의 일가를 몰살하고 그의 딸과 아들을 살려두어 국경으로 데려가게 하였다. 이는, 남은 양우헌의 병사들이 양우헌의 심복인 주회안(양가휘 분)을 따를 것을 우려하여 그를 유인하여 제거하기 위해서였다. 국경 근처에서 양우헌의 두 아이를 구해낸 주회안의 애인 구모언(임청하 분)과 무림 협객들은 주회안과 합류하기로 한 용문객잔에 도착한다. 이곳 여관의 안주인인 아름답고 요염한 금양옥(장만옥 분)은 이곳에 투숙하는 사람을 잡아 인육으로 만두를 만드는 도둑패의 우두머리다. 그녀는 이곳에 온 주회안에게 매료되어 그를 유혹하는데 혈안이 된다. 한편, 주회안 일행은 폭우로 인한 날씨 때문에 바로 떠나려던 계획을 포기하게 되고...",https://images.justwatch.com/poster/36189786/s276/sinyongmungaegjan.webp,
뜨거운 포옹,Paris When It Sizzles,(1964),,"[('Naver Store', ['₩1,500', 'HD'])]","['70%', '6.4 (8k)']","['코미디 , 로맨스']",['1시간 50분'],['Richard Quine'],"['William Holden', 'Audrey Hepburn', 'Grégoire Aslan', 'Raymond Bussières', 'Christian Duvaleix', 'Michel Thomass', 'Dominique Boschero', 'Evi Marandi', 'Noël Coward', 'Tony Curtis', 'Mel Ferrer', 'Marlene Dietrich', 'Frank Sinatra', 'Henri Garcin']",헐리우드 영화 제작자 알렉산더 메이어헤이머는 술고래인 시나리오 작가 리차드 벤슨(월리암 홀든 분)을 고용한다. 벤슨은 원고 작업을 위해 몇 달 간 파이 한 아파트에서 은둔생활을 시작한다. 방탕한 생활을 하여 놀고 지내는데 시간을 허비해버린 그는 지금 데드라인을 이틀 남겨둔 상태. 다급해진 그는 자신의 원고 작업을 제시간에 끝내기 위햇 입시 비서 가브리엘 심슨(오드리 헵번 분)을 고용하는데.......,https://images.justwatch.com/poster/11134408/s276/paris-when-it-sizzles.webp,"[('Naver Store', ['₩5,500', 'HD'])]"
써머스비,Sommersby,(1993),,,"['69%', '6.2 (21k)']","['스릴러 , 로맨스 , 드라마']",['1시간 49분'],['Jon Amiel'],"['Jodie Foster', 'Richard Gere', 'Bill Pullman', 'James Earl Jones', 'Lanny Flaherty', 'William Windom', 'Wendell Wellman', 'Brett Kelley', 'Clarice Taylor', 'Frankie Faison', 'R. Lee Ermey', 'Richard Hamilton', 'Karen Kirschenbauer', 'Dean Whitworth', 'Stephanie Weaver', 'Muse Watson', 'Paul Austin', 'Frank Hoyt Taylor', 'Ray McKinnon', 'Maury Chaykin', 'James Earl Jones', 'Richard Lineback']","남북 전쟁에 나간 잭 써머스비(John ""Jack"" Robert Sommersby: 리차드 기어 분)가 전쟁이 끝나도 돌아오지않자 고향 사람들은 모두 그가 죽었다고 믿었다. 그리고 그의 아내와 어린 아들, 친구와 친척들은 그의 죽음을 별로 슬퍼하지 않았다. 포도 농장의 주인이었던 써머스비는 거칠고 잔인한데다 농사와 집안일을 돌보지 않고 말썽만 피우던 남자였다. 특히 여자의 몸으로 혼자 아이를 키우며 집안 일에다 농장일까지 맡아 고생하던 아내 로렐(Laurel: 죠디 포스터 분)은 그 지긋지긋한 남자가 사라져 해방된 느낌이었다. 그리고 가까운 이웃으로 지내는 남자 오린 미첨(Orin Meecham: 빌 풀먼 분)은 써머스비가 죽었다는 소문이 돌자 로렐을 도와주며 써머스비의 죽음이 공식화되면 결혼할 생각을 갖고 있었다. 그러나 고향을 떠난지 7년만에 써머스비가 돌아왔다. 그런데 돌아온 그는 새로운 인간으로 변한 써머스비였고, 그 때문에 고향사람들도 모두 커다란 변화를 겪는다. 그는 우선 그 옛날 로렐을 끌었던 매력으로, 아니 그 이상의 부드러움과 정열로 로렐을 위해주며 담배 경작을 시작하여 가난했던 마음을 풍족하게 만들었다. 전과는 너무도 달리 변했기에 사람들은 의심을 시작한다. 지금 이 멋진 잭써머스비가 진짜로 7년전 마을을 떠난 그 써머스비인가? 그 대답을 아는 것은 오직 한 사람, 로렐 뿐이었다.",https://images.justwatch.com/poster/239187539/s276/sommersby.webp,"[('Naver Store', ['₩5,500', 'HD'])]"
도신: 정전자,賭神,(1989),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,540', 'HD']), ('Naver Store', ['₩1,540', 'HD'])]","['78%', '7.3 (5k)']","['코미디 , 드라마 , 액션']",['2시간 6분'],['Wong Jing'],"['Chow Yun-Fat', 'Andy Lau', 'Joey Wong', 'Sharla Cheung', 'Charles Heung', 'Lung Fong', 'Bau Hon-Lam', 'Yeung Chak-Lam', 'Shing Fui-On', 'Ng Man-tat', 'Ronald Wong Ban', 'Wong San', 'Seung-Goon Yuk', 'Law Ching-Ho', 'Michiko Nishiwaki', 'Luk Chuen', 'Dennis Chan Kwok-San', 'Strawberry Yeung', 'Wong Jing', 'Chan Lap-Ban', 'Chan Yiu-Kwong', 'Casino Manager (uncredited)', 'Croupier on Boat', ""Kwong, Shing's Man"", ""Shing's Man"", ""Nam's Man"", 'Thug on Train', 'Thug on Train', 'Thug on Train', 'Assassin', 'Ernest Mauser', 'Thug', 'Thug', 'Gambler', 'Assassin', 'Assassin', 'Assassin', 'Assassin', 'Lau Kong', 'Danny Ng Wai-Yip', 'Rocky Lai Keung-Kun', 'Jameson Lam Wa-Fan', 'Wan Seung-Lam', 'Wong Chi-Hok', 'Alex Yip Choi-Nam']","홍콩의 어느 고풍적인 분위기로 장식되어 있는 사진관에 어둠이 밀려오고 하나 둘 거물들이 들어와 때아닌 도박판이 벌어진다. 도박판의 긴장된 분위기가 장내를 감싸고 도박의 황제인 주윤발의 천재적인 도박솜씨가 유감없이 발휘된다. 그러나, 우연한 실수로 도박의 황제인 주윤발은 강한 충격을 받고 기억상실증에 걸리게 된다. 여기에 유덕화가 친구인 주윤발을 헌신적으로 돌본다.",https://images.justwatch.com/poster/241193626/s276/god-of-gamblers.webp,
"소년, 소녀를 만나다",Boy Meets Girl,(1984),"[('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,000', 'HD'])]","['75%', '7.0 (3k)']","['로맨스 , Made in Europe , 드라마']",['1시간 40분'],['Leos Carax'],"['Denis Lavant', 'Mireille Perrier', 'Carroll Brooks', 'Maïté Nahyr', 'Christian Cloarec', 'Marc Desclozeaux', 'Anna Baldaccini', 'Evelyne Schmitt', 'Jean Duflot', ""P'tit Louis"", 'Dominique Reymond', 'Georges Castorp', 'Anne Dieumegard', 'Puig Segur', 'Hans Meyer', 'Remy Brozek', 'Georges Brozek', 'Roberte Barrère', 'Ardag Basmadjian', 'Gerard Colin', 'Laurent Chevalier', 'Jacques Pinault', 'Timothée Janssen', 'Lolo Pigalle', 'Elizabeth Emorine', 'Albert Braun', 'Frédérique Charbonneau', 'Lucie Morgan', 'Roberto Benavente', 'Jean-Jacques Rock']","어두운 파리, 세느 강변의 밤. 한 여인이 자동차를 몰고 나타난다. 카스테레오에선 우린 이별을 하기위해 왔다는 샹송이 흘러나온다. 누군가와 전화통화를 하던 그녀는 스카프를 흘리며 사라지고 그곳에 있던 알렉스는 그 스카프를 줍는다. 알렉스는 가장 친한 친구 또마와 자신의 애인인 플로랑스가 서로 연인 사이임을 알게되었고 그는 세느강가에서 또마를 죽이기 위해 목을 조른다. 하지만 결국 그는 차마 친구를 죽이진 못하고 집으로 돌아온다. 자신의 인생에서 중요했던 일을 기록하는 습관이 있는 알렉스는 이날 일을 '생애 최고의 살인 미수'라고 쓴다.",https://images.justwatch.com/poster/249874702/s276/sonyeon-sonyeoreul-mannada.webp,"[('Naver Store', ['₩1,000', 'HD'])]"
형사 이야기,Detective Story,(1951),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,500', 'HD'])]","['79%', '7.6 (7k)']","['드라마 , 로맨스 , 범죄']",['1시간 43분'],['William Wyler'],"['Kirk Douglas', 'Eleanor Parker', 'William Bendix', ""Cathy O'Donnell"", 'George Macready', 'Horace McMahon', 'Gladys George', 'Joseph Wiseman', 'Lee Grant', 'Gerald Mohr', 'Frank Faylen', 'Craig Hill', 'Michael Strong', 'Luis van Rooten', 'Bert Freed', 'Warner Anderson', 'Grandon Rhodes', 'William Phillips', 'Russell Evans', 'Burt Mustin', 'Catherine Doucet', 'James Maloney', 'Donald Kerr', 'Ann Codee', 'Charles Campbell', 'Edmund Cobb', 'Pat Flaherty', 'Harper Goff', 'Howard Joslin', 'George Magrill', 'Det. Coleman', 'Ralph Montgomery', 'Jack Perry', 'Jack Shea', 'Kay Wiley']",뉴욕 강력계 경찰 제임스 맥레오드(커크 더글러스 분)는 범죄에 강박적으로 집착하며 타협이라곤 모른다. 또한 담당사건의 용의자들을 차갑게 대하다 못해 혐오한다. 뿐만 아니라 아내 메리(일리노어 파커 분)의 과거를 알게 되면서 그녀의 불결함을 용서하지 못한다. 이런 모습은 어린 시절 그를 학대하던 그의 아버지와 그로 인해 정신병원에서 죽은 어머니가 안겨준 고통으로 만들어졌다. 아버지의 트라우마에서 벗어나지 못하고 스스로 악마가 되어가는 그는 어느 날 수사중이던 한 범죄자의 총을 맞게 되는데...,https://images.justwatch.com/poster/250139455/s276/hyeongsa-iyagi.webp,
메가포스군단,Megaforce,(1982),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,540', 'HD'])]","['42%', '3.7 (3k)']","['SF , 액션']",['1시간 39분'],['Hal Needham'],"['Barry Bostwick', 'Michael Beck', 'Persis Khambatta', 'Edward Mulhare', 'George Furth', 'Henry Silva', 'Ralph Wilcox', 'Evan C. Kim', 'Anthony Pena', 'Robert Fuller', 'Hal Needham', 'J. Víctor López', 'Bobby Bass', 'Samir Kamoun', 'Youssef Merhi']","가장 강력한 최신형 무기와 정예요원들로 구성된 메가포스군단! 비록 서류에 존재하진 않지만 전 세계 자유진영 지도자들의 아낌없는 지원을 받으며 악의 세력을 처단하고 자유와 정의를 수호하는 것이 그들의 임무다. 메가포스 군단은 번장군의 부탁으로 게레라군을 소탕하는 작전을 수행하게 된다. 하지만 그러던 중 게레라와 산둥공화국이 뒷거래를 하여 메가포스를 위험에 빠뜨렸다는 사실을 알게 되고, 이제 그들의 살길을 도모하는 전투가 시작되는데...",https://images.justwatch.com/poster/90548820/s276/megaposeugundan.webp,
안네의 일기,The Diary of Anne Frank,(1959),,,"['80%', '7.4 (12k)']","['드라마 , 가족 , 역사 , 전쟁 , Made in Europe']",['3시간 0분'],['George Stevens'],"['Millie Perkins', 'Joseph Schildkraut', 'Shelley Winters', 'Richard Beymer', 'Gusti Huber', 'Lou Jacobi', 'Diane Baker', 'Douglas Spencer', 'Dodie Heath', 'Ed Wynn', 'Robert Boon', 'Delmar Erickson', 'Gretchen Goertz', 'William Kirschner', 'Edmund Purdom', 'Frank Tweddell', 'Charles Wagenheim']","1934년 여름 히틀러가 집권하자 안네 가족은 프랑크프루트를 뗘나 네덜란드 암스테르담에 정착하게 된다. 불안한 생활 가운데에서도 한동안 평화로운 생활이 계속되는 안네의 가족. 그러나 1941년 네덜란드를 침공하고 암스테르담에서의 유태인 검거와 처형에 혈안이 된 나찌들의 횡포가 더욱 심해지자 안네의 가족은 불안한 하루하루를 보내게 된다. 그로부터 1년 후 안네의 언니 마르코프가 출두 명령을 받게 되고 다음 달, 안네의 가족을 비롯하여 반단씨 가족과 그의 아들이자 안네의 연인 피터, 의사인 뒤셀씨 등은 미리 준비해 두었던 은신처로 옮겨 은둔 생활에 들어간다. 그러나 2년이 넘는 은둔생활 중 게슈타포에 의해 발각되고 이들은 폴란드의 유태인 수용소를 전전하다가 그 다음해 안네의 아버지를 제외한 모든 사람들이 죽음을 당하게 된다. 세월이 흘러 독일이 패망한 후 안네의 아버지는 자신의 가족들이 독일군의 눈을 피해 숨어 지냈던 다락방에서 안네의 일기장을 발견하게 되는데.",https://images.justwatch.com/poster/8678834/s276/the-diary-of-anne-frank.webp,"[('Naver Store', ['₩1,000'])]"
협녀,俠女,(1971),,"[('wavve', ['₩2,500', 'HD'])]","['83%', '7.6 (5k)']","['액션 , 드라마 , 스릴러']",['3시간 0분'],['King Hu'],"['Hsu Feng', 'Tien Peng', 'Roy Chiao', 'Shih Chun', 'Cho Kin', 'Miao Tien', 'Melvin Chang Yun-Wen', 'Sit Hon', 'Han Ying-Chieh', 'Ringo Pai Ying', 'Sammo Hung', 'Jackie Chan']","정치적으로 어지러웠던 명나라 말기, 벼슬에 뜻이 없는 선비 고성제는 초야에 묻혀 다른 이들의 초상화를 그려 주며 살고 있다. 그는 어느 날 우연히 폐가에 살고 있는 양낭자를 만나고 아름다운 그녀를 사랑하게 된다. 양낭자는 과거 충신의 후손으로 아버지가 역적으로 몰려 죽은 뒤에 가족들을 몰살하려는 조정의 무사들을 피해 도망 다니고 있는 중이다. 고성제는 양낭자 일행과 합류한 뒤 병법에서 응용한 여러 가지 계략을 세워 이들을 돕게 된다.",https://images.justwatch.com/poster/169481937/s276/hyeobnyeo.webp,"[('Naver Store', ['₩2,500', 'HD'])]"
